"filename", "language", "XML", "Markdown", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\globals\style.css", "CSS", 0, 0, 112, 0, 0, 0, 1, 113
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\length\index.html", "HTML", 0, 0, 0, 143, 0, 0, 4, 147
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\length\main.js", "JavaScript", 0, 0, 0, 0, 66, 0, 1, 67
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\mass\index.html", "HTML", 0, 0, 0, 143, 0, 0, 4, 147
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\mass\main.js", "JavaScript", 0, 0, 0, 0, 66, 0, 1, 67
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\speed\index.html", "HTML", 0, 0, 0, 107, 0, 0, 4, 111
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\speed\main.js", "JavaScript", 0, 0, 0, 0, 27, 0, 1, 28
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\temperature\index.html", "HTML", 0, 0, 0, 94, 0, 0, 4, 98
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\convert\temperature\main.js", "JavaScript", 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\index.html", "HTML", 0, 0, 0, 56, 0, 0, 5, 61
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\first-page\style.css", "CSS", 0, 0, 218, 0, 0, 1, 1, 220
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-fonts.css", "CSS", 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-footer\global-footer.css", "CSS", 0, 0, 206, 0, 0, 0, 1, 207
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-footer\global-footer.html", "HTML", 0, 0, 0, 110, 0, 2, 7, 119
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-navbar\global-navbar.css", "CSS", 0, 0, 243, 0, 0, 2, 4, 249
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-navbar\global-navbar.html", "HTML", 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-scrollbar.css", "CSS", 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-top-button.css", "CSS", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-top-button\global-top-button.css", "CSS", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\other\globals\global-top-button\global-top-button.html", "HTML", 0, 0, 0, 34, 0, 0, 4, 38
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\resources\first-page\fonts\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 8, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\resources\first-page\icons\gmail.svg", "XML", 38, 0, 0, 0, 0, 1, 1, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\resources\first-page\icons\instagram.svg", "XML", 63, 0, 0, 0, 0, 1, 4, 68
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\resources\first-page\icons\linkedin.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\resources\first-page\icons\telegram.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aCalculator\rough - Copy\resources\first-page\icons\twitter.svg", "XML", 16, 0, 0, 0, 0, 1, 0, 17
"Total", "-", 119, 9, 923, 727, 177, 8, 63, 2026
